"empleo_fl","sexo","tipo_edu","region","egreso","hab_dig","hab_ciud","hab_num","hab_verb"
0,0,1,"Araucania",2023,523,549,424,549
0,1,1,"Coquimbo",2023,667,677,413,364
1,0,0,"Maule",2021,785,792,0,0
1,0,1,"Metropolitana",2022,427,427,498,500
1,1,0,"Los Lagos",2023,922,1000,563,699
1,0,0,"Valparaiso",2023,808,834,731,641
1,0,0,"OHiggins",2023,965,1000,990,874
0,0,0,"Maule",2023,558,558,616,641
1,1,0,"Metropolitana",2023,870,906,879,837
1,0,1,"Araucania",2023,724,752,513,679
1,1,0,"Metropolitana",2022,736,744,0,0
1,1,1,"Valparaiso",2021,667,670,657,620
0,1,1,"Biobio",2023,865,992,535,589
0,1,1,"Tarapaca",2023,724,811,0,0
0,1,1,"Valparaiso",2023,459,459,403,481
1,1,1,"Metropolitana",2022,780,796,0,689
1,0,0,"Metropolitana",2023,928,940,1000,837
0,0,0,"Metropolitana",2023,851,886,616,707
0,0,0,"Metropolitana",2023,657,658,535,496
1,0,0,"Araucania",2023,757,765,535,506
0,1,0,"Valparaiso",2023,856,867,897,742
0,0,0,"Metropolitana",2022,793,812,939,0
1,1,0,"Biobio",2022,965,1000,669,726
1,0,0,"Metropolitana",2019,415,415,616,607
1,1,0,"Valparaiso",2021,785,839,575,799
1,1,0,"Coquimbo",2022,937,963,879,0
1,1,0,"Metropolitana",2023,727,816,731,754
1,0,0,"Los Rios",2023,837,850,669,922
0,0,0,"Valparaiso",2023,856,862,696,759
1,1,0,"Antofagasta",2023,808,831,657,636
0,1,0,"Metropolitana",2023,928,975,549,597
1,0,0,"Metropolitana",2023,842,842,879,815
1,1,0,"Metropolitana",2021,837,873,773,918
0,0,0,"Metropolitana",2023,879,880,844,686
0,1,0,"Biobio",1985,814,869,0,0
0,1,0,"Metropolitana",2022,928,949,897,759
1,1,0,"Antofagasta",2023,886,901,680,597
1,0,0,"Metropolitana",2023,985,1000,990,774
0,1,0,"Biobio",2021,599,605,600,463
